Student,Choice 1:,Choice 2:,Choice 3:,Choice 4:,Choice 5:,Choice 6:,Choice 7:,Choice 8:,Choice 9:,Choice 10:
16,Zombie Survival 101,Introduction to Python Programming,Origami: The Art of Paper Folding,The Science of Sleep & Dreams,The Physics of Superheroes,Personal Finance & Investing 101,History of the Space Race,3D Printing & Rapid Prototyping,Songwriting & Music Theory,Debate Team: Rhetoric & Argument
17,Introduction to Python Programming,Urban Gardening & Botany,Memeology: The History of Internet Humor,Computer Hardware Repair,Origami: The Art of Paper Folding,Podcast Production: Audio Storytelling,Debate Team: Rhetoric & Argument,Criminology: The Mind of a Detective,The Physics of Superheroes,Introduction to Architecture
18,Introduction to Python Programming,Personal Finance & Investing 101,Urban Gardening & Botany,Zombie Survival 101,History of the Space Race,Marine Biology: Coral Reef Ecology,Origami: The Art of Paper Folding,Podcast Production: Audio Storytelling,3D Printing & Rapid Prototyping,Statistics in Sports Analytics
19,Zombie Survival 101,Introduction to Python Programming,Personal Finance & Investing 101,Statistics in Sports Analytics,History of the Space Race,Marine Biology: Coral Reef Ecology,Urban Gardening & Botany,Google Sheet Skills for the Real World,The Physics of Superheroes,3D Printing & Rapid Prototyping
20,Urban Gardening & Botany,History of the Space Race,Zombie Survival 101,Personal Finance & Investing 101,The Physics of Superheroes,Introduction to Python Programming,Origami: The Art of Paper Folding,Podcast Production: Audio Storytelling,Ethics in Artificial Intelligence,Modern Graphic Design Principles
21,Marine Biology: Coral Reef Ecology,Zombie Survival 101,Basic Car Maintenance & Repair,History of the Space Race,Statistics in Sports Analytics,The Science of Sleep & Dreams,Stand-Up Comedy 101,Urban Gardening & Botany,Personal Finance & Investing 101,Survey of Modern Architecture
22,Marine Biology: Coral Reef Ecology,Statistics in Sports Analytics,Urban Gardening & Botany,Podcast Production: Audio Storytelling,Basic Car Maintenance & Repair,Introduction to Python Programming,3D Printing & Rapid Prototyping,Modern Graphic Design Principles,Computer Hardware Repair,Origami: The Art of Paper Folding
23,Survey of Modern Architecture,The Science of Sleep & Dreams,Modern Graphic Design Principles,Introduction to Python Programming,Personal Finance & Investing 101,Cryptography & Code Breaking,Songwriting & Music Theory,Origami: The Art of Paper Folding,Ethics in Artificial Intelligence,Calligraphy & Hand Lettering
24,The Science of Sleep & Dreams,Statistics in Sports Analytics,Entrepreneurship: Start Your Business,History of the Space Race,Podcast Production: Audio Storytelling,Personal Finance & Investing 101,Introduction to Python Programming,3D Printing & Rapid Prototyping,Ethics in Artificial Intelligence,American Sign Language (ASL) 1
25,Introduction to Python Programming,Constitutional Law & Civil Rights,Modern Graphic Design Principles,American Sign Language (ASL) 1,Introduction to Python Programming,Songwriting & Music Theory,Introduction to Architecture,The Physics of Superheroes,Criminology: The Mind of a Detective,Conflict Resolution Skills
26,Marine Biology: Coral Reef Ecology,Introduction to Architecture,Criminology: The Mind of a Detective,History of the Space Race,Origami: The Art of Paper Folding,Entrepreneurship: Start Your Business,Constitutional Law & Civil Rights,Modern Graphic Design Principles,Google Sheet Skills for the Real World,Basic Car Maintenance & Repair
27,Urban Gardening & Botany,Intro to Veterinary Science,Basic Car Maintenance & Repair,Marine Biology: Coral Reef Ecology,Zombie Survival 101,3D Printing & Rapid Prototyping,Personal Finance & Investing 101,Introduction to Architecture,Criminology: The Mind of a Detective,Chess Tactics for Beginners
28,Personal Finance & Investing 101,Statistics in Sports Analytics,Calligraphy & Hand Lettering,Urban Gardening & Botany,Survey of Modern Architecture,Criminology: The Mind of a Detective,Origami: The Art of Paper Folding,Podcast Production: Audio Storytelling,Songwriting & Music Theory,Chess Tactics for Beginners
29,Chess Tactics for Beginners,Woodworking: Build a Box,3D Printing & Rapid Prototyping,Debate Team: Rhetoric & Argument,Survey of Modern Architecture,Google Sheet Skills for the Real World,Introduction to Architecture,Urban Gardening & Botany,History of the Space Race,Ethics in Artificial Intelligence
30,Debate Team: Rhetoric & Argument,Podcast Production: Audio Storytelling,Personal Finance & Investing 101,Computer Hardware Repair,Introduction to Python Programming,Marine Biology: Coral Reef Ecology,Entrepreneurship: Start Your Business,Ethics in Artificial Intelligence,Urban Gardening & Botany,Introduction to Python Programming
31,Ethics in Artificial Intelligence,Urban Gardening & Botany,Introduction to Python Programming,Personal Finance & Investing 101,Modern Graphic Design Principles,History of the Space Race,The Physics of Superheroes,Statistics in Sports Analytics,The Science of Sleep & Dreams,Marine Biology: Coral Reef Ecology
32,Personal Finance & Investing 101,Urban Gardening & Botany,History of the Space Race,American Sign Language (ASL) 1,Constitutional Law & Civil Rights,Origami: The Art of Paper Folding,Podcast Production: Audio Storytelling,Debate Team: Rhetoric & Argument,The Science of Sleep & Dreams,3D Printing & Rapid Prototyping
33,Introduction to Python Programming,Statistics in Sports Analytics,Woodworking: Build a Box,Modern Graphic Design Principles,Personal Finance & Investing 101,The Science of Sleep & Dreams,Cryptography & Code Breaking,Introduction to Architecture,Calligraphy & Hand Lettering,History of the Space Race
34,Introduction to Python Programming,Urban Gardening & Botany,The Science of Sleep & Dreams,Personal Finance & Investing 101,Ethics in Artificial Intelligence,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
35,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
36,The Physics of Superheroes,Personal Finance & Investing 101,Urban Gardening & Botany,History of the Space Race,American Sign Language (ASL) 1,Podcast Production: Audio Storytelling,Constitutional Law & Civil Rights,Modern Graphic Design Principles,Marine Biology: Coral Reef Ecology,Songwriting & Music Theory
37,Computer Hardware Repair,Zombie Survival 101,Origami: The Art of Paper Folding,History of the Space Race,Chess Tactics for Beginners,Modern Graphic Design Principles,Introduction to Architecture,Intro to Veterinary Science,3D Printing & Rapid Prototyping,The Physics of Superheroes
38,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Personal Finance & Investing 101,Debate Team: Rhetoric & Argument,Marine Biology: Coral Reef Ecology,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
39,Debate Team: Rhetoric & Argument,Marine Biology: Coral Reef Ecology,Personal Finance & Investing 101,Podcast Production: Audio Storytelling,3D Printing & Rapid Prototyping,Stand-Up Comedy 101,Urban Gardening & Botany,Introduction to Python Programming,Songwriting & Music Theory,Statistics in Sports Analytics
40,Introduction to Python Programming,Woodworking: Build a Box,The Physics of Superheroes,Conflict Resolution Skills,Ethics in Artificial Intelligence,Urban Gardening & Botany,Cryptography & Code Breaking,Marine Biology: Coral Reef Ecology,Statistics in Sports Analytics,Calligraphy & Hand Lettering
41,History of the Space Race,Modern Graphic Design Principles,Personal Finance & Investing 101,Urban Gardening & Botany,Zombie Survival 101,American Sign Language (ASL) 1,Podcast Production: Audio Storytelling,Computer Hardware Repair,3D Printing & Rapid Prototyping,Conflict Resolution Skills
42,Songwriting & Music Theory,Ethics in Artificial Intelligence,Modern Graphic Design Principles,Personal Finance & Investing 101,Podcast Production: Audio Storytelling,Woodworking: Build a Box,American Sign Language (ASL) 1,Conflict Resolution Skills,Statistics in Sports Analytics,Origami: The Art of Paper Folding
43,Urban Gardening & Botany,Introduction to Python Programming,Ethics in Artificial Intelligence,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Personal Finance & Investing 101,The Physics of Superheroes,Survey of Modern Architecture,Podcast Production: Audio Storytelling,Constitutional Law & Civil Rights
44,Personal Finance & Investing 101,American Sign Language (ASL) 1,Urban Gardening & Botany,Ethics in Artificial Intelligence,Podcast Production: Audio Storytelling,Songwriting & Music Theory,The Science of Sleep & Dreams,Marine Biology: Coral Reef Ecology,Entrepreneurship: Start Your Business,Ethics in Artificial Intelligence
45,Statistics in Sports Analytics,Zombie Survival 101,Urban Gardening & Botany,Stand-Up Comedy 101,The Physics of Superheroes,3D Printing & Rapid Prototyping,Personal Finance & Investing 101,Debate Team: Rhetoric & Argument,American Sign Language (ASL) 1,Chess Tactics for Beginners
46,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
47,Introduction to Python Programming,Urban Gardening & Botany,The Science of Sleep & Dreams,Personal Finance & Investing 101,Ethics in Artificial Intelligence,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
48,The Science of Sleep & Dreams,Statistics in Sports Analytics,Entrepreneurship: Start Your Business,History of the Space Race,Podcast Production: Audio Storytelling,Personal Finance & Investing 101,Introduction to Python Programming,3D Printing & Rapid Prototyping,Ethics in Artificial Intelligence,American Sign Language (ASL) 1
49,Marine Biology: Coral Reef Ecology,Basic Car Maintenance & Repair,History of the Space Race,Statistics in Sports Analytics,Origami: The Art of Paper Folding,3D Printing & Rapid Prototyping,Personal Finance & Investing 101,Urban Gardening & Botany,Podcast Production: Audio Storytelling,Entrepreneurship: Start Your Business
50,Introduction to Architecture,Personal Finance & Investing 101,Statistics in Sports Analytics,Entrepreneurship: Start Your Business,American Sign Language (ASL) 1,Constitutional Law & Civil Rights,Modern Graphic Design Principles,Intro to Veterinary Science,3D Printing & Rapid Prototyping,Podcast Production: Audio Storytelling
51,History of the Space Race,Modern Graphic Design Principles,Personal Finance & Investing 101,Urban Gardening & Botany,Magnify: 201 - ART world,American Sign Language (ASL) 1,Podcast Production: Audio Storytelling,Computer Hardware Repair,3D Printing & Rapid Prototyping,Conflict Resolution Skills
52,Personal Finance & Investing 101,Modern Graphic Design Principles,Urban Gardening & Botany,Podcast Production: Audio Storytelling,Entrepreneurship: Start Your Business,Basic Car Maintenance & Repair,3D Printing & Rapid Prototyping,Criminology: The Mind of a Detective,Stand-Up Comedy 101,History of the Space Race
53,Introduction to Python Programming,Survey of Modern Architecture,Ethics in Artificial Intelligence,Statistics in Sports Analytics,Debate Team: Rhetoric & Argument,Personal Finance & Investing 101,Urban Gardening & Botany,Modern Graphic Design Principles,Marine Biology: Coral Reef Ecology,3D Printing & Rapid Prototyping
54,Introduction to Python Programming,Survey of Modern Architecture,Ethics in Artificial Intelligence,Statistics in Sports Analytics,Debate Team: Rhetoric & Argument,Personal Finance & Investing 101,Urban Gardening & Botany,Modern Graphic Design Principles,Marine Biology: Coral Reef Ecology,3D Printing & Rapid Prototyping
55,Podcast Production: Audio Storytelling,Marine Biology: Coral Reef Ecology,Entrepreneurship: Start Your Business,Urban Gardening & Botany,Marine Biology: Coral Reef Ecology,Modern Graphic Design Principles,Songwriting & Music Theory,Survey of Modern Architecture,American Sign Language (ASL) 1,3D Printing & Rapid Prototyping
56,Basic Car Maintenance & Repair,Woodworking: Build a Box,Statistics in Sports Analytics,Introduction to Python Programming,Personal Finance & Investing 101,Introduction to Architecture,Podcast Production: Audio Storytelling,American Sign Language (ASL) 1,Survey of Modern Architecture,Ethics in Artificial Intelligence
57,Basic Car Maintenance & Repair,Introduction to Architecture,Woodworking: Build a Box,Introduction to Python Programming,Statistics in Sports Analytics,Zombie Survival 101,Stand-Up Comedy 101,Personal Finance & Investing 101,American Sign Language (ASL) 1,Podcast Production: Audio Storytelling
58,History of the Space Race,Marine Biology: Coral Reef Ecology,Personal Finance & Investing 101,Urban Gardening & Botany,Ethics in Artificial Intelligence,Statistics in Sports Analytics,Podcast Production: Audio Storytelling,Stand-Up Comedy 101,The Physics of Superheroes,Modern Graphic Design Principles
59,Personal Finance & Investing 101,3D Printing & Rapid Prototyping,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Basic Car Maintenance & Repair,Modern Graphic Design Principles,Podcast Production: Audio Storytelling,Statistics in Sports Analytics,Marine Biology: Coral Reef Ecology
60,Personal Finance & Investing 101,Introduction to Python Programming,Modern Graphic Design Principles,Podcast Production: Audio Storytelling,3D Printing & Rapid Prototyping,Urban Gardening & Botany,Basic Car Maintenance & Repair,Statistics in Sports Analytics,The Science of Sleep & Dreams,Woodworking: Build a Box
61,Woodworking: Build a Box,The Science of Sleep & Dreams,Ethics in Artificial Intelligence,Urban Gardening & Botany,Introduction to Python Programming,3D Printing & Rapid Prototyping,Podcast Production: Audio Storytelling,Personal Finance & Investing 101,Modern Graphic Design Principles,Statistics in Sports Analytics
62,Marine Biology: Coral Reef Ecology,Modern Graphic Design Principles,3D Printing & Rapid Prototyping,Personal Finance & Investing 101,American Sign Language (ASL) 1,Basic Car Maintenance & Repair,Intro to Veterinary Science,Calligraphy & Hand Lettering,Statistics in Sports Analytics,Introduction to Architecture
63,Urban Gardening & Botany,Modern Graphic Design Principles,American Sign Language (ASL) 1,Personal Finance & Investing 101,Ethics in Artificial Intelligence,Constitutional Law & Civil Rights,Marine Biology: Coral Reef Ecology,Podcast Production: Audio Storytelling,Debate Team: Rhetoric & Argument,The Science of Sleep & Dreams
64,Marine Biology: Coral Reef Ecology,3D Printing & Rapid Prototyping,Introduction to Python Programming,Urban Gardening & Botany,Modern Graphic Design Principles,Basic Car Maintenance & Repair,Introduction to Architecture,Zombie Survival 101,Podcast Production: Audio Storytelling,Statistics in Sports Analytics
65,The Physics of Superheroes,Origami: The Art of Paper Folding,Woodworking: Build a Box,Zombie Survival 101,American Sign Language (ASL) 1,Urban Gardening & Botany,History of the Space Race,Statistics in Sports Analytics,Calligraphy & Hand Lettering,3D Printing & Rapid Prototyping
66,Personal Finance & Investing 101,Statistics in Sports Analytics,Basic Car Maintenance & Repair,Woodworking: Build a Box,Google Sheet Skills for the Real World,Ethics in Artificial Intelligence,Marine Biology: Coral Reef Ecology,Intro to Veterinary Science,Introduction to Python Programming,Modern Graphic Design Principles
67,Woodworking: Build a Box,Modern Graphic Design Principles,Intro to Veterinary Science,Debate Team: Rhetoric & Argument,Statistics in Sports Analytics,Marine Biology: Coral Reef Ecology,Survey of Modern Architecture,Introduction to Python Programming,3D Printing & Rapid Prototyping,Podcast Production: Audio Storytelling
68,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
69,The Science of Sleep & Dreams,Personal Finance & Investing 101,Urban Gardening & Botany,Marine Biology: Coral Reef Ecology,Statistics in Sports Analytics,Modern Graphic Design Principles,History of the Space Race,Debate Team: Rhetoric & Argument,Podcast Production: Audio Storytelling,3D Printing & Rapid Prototyping
70,Urban Gardening & Botany,Personal Finance & Investing 101,Cryptography & Code Breaking,The Science of Sleep & Dreams,American Sign Language (ASL) 1,Songwriting & Music Theory,3D Printing & Rapid Prototyping,Constitutional Law & Civil Rights,Modern Graphic Design Principles,Origami: The Art of Paper Folding
71,Ethics in Artificial Intelligence,Urban Gardening & Botany,Introduction to Python Programming,Personal Finance & Investing 101,Modern Graphic Design Principles,History of the Space Race,Statistics in Sports Analytics,Woodworking: Build a Box,Marine Biology: Coral Reef Ecology,Podcast Production: Audio Storytelling
72,Introduction to Python Programming,Urban Gardening & Botany,Podcast Production: Audio Storytelling,Modern Graphic Design Principles,Criminology: The Mind of a Detective,Marine Biology: Coral Reef Ecology,Personal Finance & Investing 101,Debate Team: Rhetoric & Argument,Entrepreneurship: Start Your Business,Songwriting & Music Theory
73,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
74,Zombie Survival 101,Personal Finance & Investing 101,Criminology: The Mind of a Detective,Introduction to Architecture,Chess Tactics for Beginners,Introduction to Python Programming,History of the Space Race,3D Printing & Rapid Prototyping,Urban Gardening & Botany,Survey of Modern Architecture
75,Origami: The Art of Paper Folding,Introduction to Python Programming,Zombie Survival 101,American Sign Language (ASL) 1,History of the Space Race,The Physics of Superheroes,Personal Finance & Investing 101,Basic Car Maintenance & Repair,Songwriting & Music Theory,Podcast Production: Audio Storytelling
76,Urban Gardening & Botany,History of the Space Race,Zombie Survival 101,Memeology: The History of Internet Humor,Personal Finance & Investing 101,Computer Hardware Repair,Marine Biology: Coral Reef Ecology,Stand-Up Comedy 101,Intro to Veterinary Science,American Sign Language (ASL) 1
77,Personal Finance & Investing 101,Introduction to Python Programming,Modern Graphic Design Principles,Podcast Production: Audio Storytelling,3D Printing & Rapid Prototyping,Urban Gardening & Botany,Basic Car Maintenance & Repair,Statistics in Sports Analytics,The Science of Sleep & Dreams,Woodworking: Build a Box
78,Zombie Survival 101,Introduction to Python Programming,Conflict Resolution Skills,Urban Gardening & Botany,History of the Space Race,Songwriting & Music Theory,Woodworking: Build a Box,Cryptography & Code Breaking,Podcast Production: Audio Storytelling,American Sign Language (ASL) 1
79,Computer Hardware Repair,History of the Space Race,Zombie Survival 101,Origami: The Art of Paper Folding,Modern Graphic Design Principles,Intro to Veterinary Science,Introduction to Architecture,The Physics of Superheroes,The Science of Sleep & Dreams,3D Printing & Rapid Prototyping
80,American Sign Language (ASL) 1,Woodworking: Build a Box,Urban Gardening & Botany,Constitutional Law & Civil Rights,The Science of Sleep & Dreams,Modern Graphic Design Principles,3D Printing & Rapid Prototyping,Stand-Up Comedy 101,Survey of Modern Architecture,Intro to Veterinary Science
81,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
82,Personal Finance & Investing 101,American Sign Language (ASL) 1,Songwriting & Music Theory,Calligraphy & Hand Lettering,Ethics in Artificial Intelligence,Urban Gardening & Botany,Basic Car Maintenance & Repair,Modern Graphic Design Principles,Personal Finance & Investing 101,American Sign Language (ASL) 1
83,Marine Biology: Coral Reef Ecology,Criminology: The Mind of a Detective,Intro to Veterinary Science,Basic Car Maintenance & Repair,Origami: The Art of Paper Folding,Chess Tactics for Beginners,Introduction to Architecture,The Physics of Superheroes,Google Sheet Skills for the Real World,Zombie Survival 101
84,Personal Finance & Investing 101,Modern Graphic Design Principles,Basic Car Maintenance & Repair,Urban Gardening & Botany,Statistics in Sports Analytics,Criminology: The Mind of a Detective,Debate Team: Rhetoric & Argument,History of the Space Race,Ethics in Artificial Intelligence,Marine Biology: Coral Reef Ecology
85,The Physics of Superheroes,Introduction to Python Programming,Zombie Survival 101,Personal Finance & Investing 101,Urban Gardening & Botany,History of the Space Race,Ethics in Artificial Intelligence,3D Printing & Rapid Prototyping,Calligraphy & Hand Lettering,Memeology: The History of Internet Humor
86,Statistics in Sports Analytics,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Urban Gardening & Botany,Calligraphy & Hand Lettering,Introduction to Architecture,Criminology: The Mind of a Detective,Introduction to Python Programming,Origami: The Art of Paper Folding,Criminology: The Mind of a Detective
87,Computer Hardware Repair,Intro to Veterinary Science,Personal Finance & Investing 101,Origami: The Art of Paper Folding,Marine Biology: Coral Reef Ecology,Criminology: The Mind of a Detective,Podcast Production: Audio Storytelling,Urban Gardening & Botany,3D Printing & Rapid Prototyping,Debate Team: Rhetoric & Argument
88,Urban Gardening & Botany,Personal Finance & Investing 101,The Science of Sleep & Dreams,Entrepreneurship: Start Your Business,Chess Tactics for Beginners,Basic Car Maintenance & Repair,Survey of Modern Architecture,Modern Graphic Design Principles,Introduction to Python Programming,History of the Space Race
89,Survey of Modern Architecture,Introduction to Python Programming,History of the Space Race,Songwriting & Music Theory,American Sign Language (ASL) 1,The Science of Sleep & Dreams,Personal Finance & Investing 101,Cryptography & Code Breaking,Intro to Veterinary Science,Modern Graphic Design Principles
90,Introduction to Python Programming,Urban Gardening & Botany,The Science of Sleep & Dreams,Personal Finance & Investing 101,Ethics in Artificial Intelligence,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
91,Urban Gardening & Botany,Introduction to Python Programming,Personal Finance & Investing 101,The Physics of Superheroes,Entrepreneurship: Start Your Business,Conflict Resolution Skills,Ethics in Artificial Intelligence,American Sign Language (ASL) 1,Calligraphy & Hand Lettering,Woodworking: Build a Box
92,Urban Gardening & Botany,Personal Finance & Investing 101,Cryptography & Code Breaking,The Science of Sleep & Dreams,American Sign Language (ASL) 1,Songwriting & Music Theory,3D Printing & Rapid Prototyping,Constitutional Law & Civil Rights,Modern Graphic Design Principles,Origami: The Art of Paper Folding
93,History of the Space Race,The Physics of Superheroes,Introduction to Architecture,Basic Car Maintenance & Repair,Constitutional Law & Civil Rights,Entrepreneurship: Start Your Business,Constitutional Law & Civil Rights,Conflict Resolution Skills,Criminology: The Mind of a Detective,3D Printing & Rapid Prototyping
94,Personal Finance & Investing 101,Introduction to Python Programming,Modern Graphic Design Principles,Podcast Production: Audio Storytelling,3D Printing & Rapid Prototyping,Urban Gardening & Botany,Basic Car Maintenance & Repair,Statistics in Sports Analytics,The Science of Sleep & Dreams,Woodworking: Build a Box
95,Urban Gardening & Botany,Personal Finance & Investing 101,Statistics in Sports Analytics,Marine Biology: Coral Reef Ecology,History of the Space Race,Zombie Survival 101,The Science of Sleep & Dreams,Ethics in Artificial Intelligence,American Sign Language (ASL) 1,Stand-Up Comedy 101
96,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
97,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,Basic Car Maintenance & Repair,Google Sheet Skills for the Real World,Podcast Production: Audio Storytelling,Ethics in Artificial Intelligence,Survey of Modern Architecture,Woodworking: Build a Box,Cryptography & Code Breaking,Conflict Resolution Skills
98,Urban Gardening & Botany,Introduction to Python Programming,Introduction to Architecture,Stand-Up Comedy 101,Basic Car Maintenance & Repair,Woodworking: Build a Box,3D Printing & Rapid Prototyping,Podcast Production: Audio Storytelling,Entrepreneurship: Start Your Business,Personal Finance & Investing 101
99,Introduction to Python Programming,Statistics in Sports Analytics,Zombie Survival 101,Woodworking: Build a Box,Intro to Veterinary Science,History of the Space Race,The Science of Sleep & Dreams,Modern Graphic Design Principles,Personal Finance & Investing 101,Podcast Production: Audio Storytelling
100,The Physics of Superheroes,Woodworking: Build a Box,Modern Graphic Design Principles,Intro to Veterinary Science,Constitutional Law & Civil Rights,Origami: The Art of Paper Folding,3D Printing & Rapid Prototyping,Songwriting & Music Theory,Stand-Up Comedy 101,Debate Team: Rhetoric & Argument
101,The Physics of Superheroes,Personal Finance & Investing 101,Urban Gardening & Botany,History of the Space Race,American Sign Language (ASL) 1,Podcast Production: Audio Storytelling,Constitutional Law & Civil Rights,Modern Graphic Design Principles,Marine Biology: Coral Reef Ecology,Songwriting & Music Theory
